InventoryID,Glottocode,ISO6393,GlottologName,PhoibleName,SpecificDialect,Source,family_id,level,status,latitude,longitude,country_ids,macroarea,Uvulars,Marginal_Uvular,Ejectives,Marginal_Ejective
2522,sher1255,xsr,Solu-Khumbu Sherpa,Solu Sherpa,Solu Sherpa (Lukla),ea,sino1245,language,definitely endangered,27.674,86.9994,CN IN NP,Eurasia,NA,NA,NA,NA
2523,sala1264,slr,Salar,Salar,NA,ea,turk1311,language,definitely endangered,35.5457,102.819,CN,Eurasia,3,NA,NA,NA
2524,lezg1247,lez,Lezgian,Lezgian,Lezgian (Güne),ea,nakh1245,language,vulnerable,41.5157,47.8951,AZ GE KZ RU UA,Eurasia,19,NA,19,NA
2525,kham1282,khg,Khams Tibetan,Kami Tibetan,NA,ea,sino1245,language,safe,31.9313,91.7062,CN IN MM,Eurasia,NA,NA,NA,NA
2526,sora1254,srb,Sora,Sora,Sora (Gumma Hills),ea,aust1305,language,safe,19.1213,84.19,IN,Eurasia,NA,NA,NA,NA
2527,walu1241,ola,Walungge,Walungge,NA,ea,sino1245,language,definitely endangered,27.695,87.2374,IN NP,Eurasia,NA,NA,NA,NA
2528,kork1243,kfq,Korku,Korku,NA,ea,aust1305,language,safe,21.8358,77.5541,IN,Eurasia,NA,NA,NA,NA
2529,pamp1243,pam,Pampanga,Kapampangan,Kapampangan (Balingcanaway),ea,aust1307,language,safe,14.9603,120.502,PH,Papunesia,NA,NA,NA,NA
2530,doma1258,rmt,Domari,Domari,Domari (Palestinian),ea,indo1319,language,severely endangered,32,35,EG IL JO PS SY,Eurasia,2,NA,NA,NA
2531,phut1244,pht,Phu Thai,Phu Tai,Phu Tai (Phanna Nikhom),ea,taik1256,language,safe,17.7544966667,104.684233333,LA TH VN,Eurasia,NA,NA,NA,NA
2532,east2328,mhr,Eastern Mari,Meadow Mari,Meadow Mari (Volga),ea,ural1272,language,vulnerable,55.8307,48.405,KZ RU,Eurasia,NA,NA,NA,NA
2533,ersu1241,ers,Ersu,Ersu,NA,ea,sino1245,language,definitely endangered,29.2867,102.213,CN,Eurasia,NA,NA,NA,NA
2534,amdo1237,adx,Amdo Tibetan,Khalong Tibetan,NA,ea,sino1245,language,safe,34.5177,100.485,CN,Eurasia,3,NA,NA,NA
2535,finn1318,fin,Finnish,Finnish,Finnish (Standard),ea,ural1272,language,safe,64.7628,25.5577,EE FI NO RU SE,Eurasia,NA,NA,NA,NA
2536,udmu1245,udm,Udmurt,Udmurt,Udmurt (Krasnoufimsk),ea,ural1272,language,definitely endangered,56.12921,52.63548,KZ RU,Eurasia,NA,NA,NA,NA
2537,khal1271,tks,Khalkhal,Khalkhal,NA,ea,indo1319,dialect,safe,NA,NA,,Eurasia,2,NA,NA,NA
2538,west2408,mut,Western Muria,Muria Gondi,NA,ea,drav1251,language,safe,20.2384,80.7006,IN,Eurasia,NA,NA,NA,NA
2539,shix1238,sxg,Shixing,Shixing,NA,ea,sino1245,language,definitely endangered,28.3895,100.4,CN,Eurasia,5,NA,NA,NA
2540,kara1462,kim,Taiga Sayan Turkic,Tofa,NA,ea,turk1311,language,critically endangered,53.7145,98.3792,RU,Eurasia,3,NA,NA,NA
2541,uppe1395,hsb,Upper Sorbian,Upper Sorbian,NA,ea,indo1319,language,vulnerable,51.2403,14.4098,DE,Eurasia,NA,NA,NA,NA
2542,hind1269,hin,Hindi,Hindi,NA,ea,indo1319,language,safe,25,77,BD BT IN NP,Eurasia,NA,NA,NA,NA
2543,pott1240,gdb,Pottangi Ollar Gadaba,Gadaba,NA,ea,drav1251,language,vulnerable,18.596800000000002,82.7586,IN,Eurasia,NA,NA,NA,NA
2544,east2347,taj,Eastern Tamang,Tamang,Tamang (Dhankuta),ea,sino1245,language,vulnerable,27.3239,87.0832,IN NP,Eurasia,NA,NA,NA,NA
2545,sout2642,bcc,Southern Balochi,Southern Balochi,NA,ea,indo1319,language,safe,26,64,IR OM PK,Eurasia,NA,NA,NA,NA
2546,camp1261,sro,Campidanese Sardinian,Campidanese Sardinian,Campidanese Sardinian (Sestu),ea,indo1319,language,vulnerable,39.0566,9.03935,IT,Eurasia,1,NA,NA,NA
2547,tulu1258,tcy,Tulu,Tulu,NA,ea,drav1251,language,vulnerable,12.8114,75.2651,IN,Eurasia,NA,NA,NA,NA
2548,acha1249,acn,Longchuan Achang,Achang,Achang (Lianghe),ea,sino1245,language,definitely endangered,24.3479,97.7438,CN MM,Eurasia,NA,NA,NA,NA
2549,chec1245,che,Chechen,Chechen,Chechen (Ploskost),ea,nakh1245,language,vulnerable,43.5,45.5,GE KZ RU,Eurasia,4,NA,6,NA
2550,sant1410,sat,Santali,Santali,NA,ea,aust1305,language,vulnerable,25.0317,87.8185,BD BT IN NP,Eurasia,NA,NA,NA,NA
2551,shan1277,shn,Shan,Shan,Shan (Kunlong),ea,taik1256,language,safe,21.5995,98.0342,CN MM TH,Eurasia,NA,NA,NA,NA
2552,abkh1244,abk,Abkhazian,Abkhaz,Abkhaz (Bzyb),ea,abkh1242,language,vulnerable,43.056218,41.159115,GE RU TR,Eurasia,11,NA,13,NA
2553,amdo1237,adx,Amdo Tibetan,gSerpa,NA,ea,sino1245,language,safe,34.5177,100.485,CN,Eurasia,4,NA,NA,NA
2554,swed1254,swe,Swedish,Swedish,Swedish (Central),ea,indo1319,language,safe,59.800634,17.389526,DK FI NO SE,Eurasia,NA,NA,NA,NA
2555,stan1289,cat,Catalan,Catalan,Catalan (Central),ea,indo1319,language,vulnerable,41.453,1.569,AD ES FR IT,Eurasia,NA,NA,NA,NA
2556,tuuu1240,mjg,Tu,Mangghuer,Mangghuer (Minhe Monguor),ea,mong1329,language,vulnerable,36.8177,102.117,CN,Eurasia,1,NA,NA,NA
2557,hung1274,hun,Hungarian,Hungarian,Hungarian (Standard),ea,ural1272,language,severely endangered,46.9068585714,19.6555271429,AT HR HU RO RS SI SK UA,Eurasia,NA,NA,NA,NA
2558,tibe1272,bod,Tibetan,Shigatse Tibetan,NA,ea,sino1245,language,safe,28.3681,90.1872,BT CN IN NP,Eurasia,NA,NA,NA,NA
2559,mala1464,mal,Malayalam,Malayalam,NA,ea,drav1251,language,safe,9.59208,76.7651,IN,Eurasia,NA,NA,NA,NA
2560,axiy1235,yix,Axi Yi,Ahi,NA,ea,sino1245,language,vulnerable,24.6009,103.713,CN,Eurasia,NA,NA,NA,NA
2561,buru1296,bsk,Burushaski,Burushaski,Burushaski (Werchikwar),ea,,language,definitely endangered,36.2161,74.8236,IN PK,Eurasia,3,NA,NA,NA
2562,mind1253,cdo,Min Dong Chinese,Min Dong Chinese,Min Dong Chinese (Fuzhou),ea,sino1245,language,safe,26,119.5,CN,Eurasia,NA,NA,NA,NA
2563,temi1246,tea,Temiar,Temiar,NA,ea,aust1305,language,vulnerable,4.974,101.438,MY,Eurasia,NA,NA,NA,NA
2564,uppe1400,sxu,Upper Saxon,Upper Saxon,Upper Saxon (Chemnitz),ea,indo1319,language,safe,51.152,12.692,DE,NA,1,NA,NA,NA
2565,ghod1238,gdo,Godoberi,Godoberi,NA,ea,nakh1245,language,definitely endangered,42.7428,46.2252,RU,Eurasia,8,NA,9,NA
2566,skol1241,sms,Skolt Saami,Skolt Saami,Skolt Saami (Suõʹnnʼjel),ea,ural1272,language,critically endangered,68.8326,29.7204,FI NO RU,Eurasia,NA,NA,NA,NA
2567,jahh1242,jah,Jah Hut,Jah-Hut,NA,ea,aust1305,language,definitely endangered,3.67619,102.291,MY,Eurasia,NA,NA,NA,NA
